date,rank_today,full_name,html_url,primary_audience,audience_tags,overall_insight_score,general_user_score,data_analyst_score,data_scientist_score,usefulness_score,momentum_score,reproducibility_score,data_asset_score,dashboard_readiness_score,maintenance_score,risk_score,difficulty_level,recommended_action,one_sentence_summary,why_it_matters,portfolio_project_idea,evidence,risk_flags,confidence,language,topics,stars,forks,open_issues,license,pushed_at,first_seen_date,last_seen_date,days_seen,rank_previous,rank_change,star_delta_since_previous_seen,fork_delta_since_previous_seen,source_status,image_asset_path,image_prompt_path
2026-07-25,1,ykdojo/claude-code-tips,https://github.com/ykdojo/claude-code-tips,general_user,"[""general_user""]",98.82,100.0,12.0,24.5,97.59,99.03,100.0,95.0,65,100.0,0.0,Intermediate,Try today,"ykdojo/claude-code-tips is a HTML project for General User: 40+ tips for getting the most out of Claude Code, from basics to advanced - includes a custom status line script and Claude Code running itself in a container. Also includes the dx plugin: skills for everyday dev workflows.",It maps to General User needs with an evidence-based score of 98.82.,"Turn claude-code-tips into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 9430"", ""Forks: 748"", ""Language: HTML"", ""License: NOASSERTION"", ""README length: 77150"", ""Topics: agentic, agentic-ai, agentic-coding, agentic-workflow, ai, claude, claude-ai, claude-code, cli, developer-tools, productivity, tips-and-tricks""]",[],high,HTML,"[""agentic"", ""agentic-ai"", ""agentic-coding"", ""agentic-workflow"", ""ai"", ""claude"", ""claude-ai"", ""claude-code"", ""cli"", ""developer-tools"", ""productivity"", ""tips-and-tricks""]",9430,748,4,NOASSERTION,2026-07-25T05:13:03Z,2026-07-15,2026-07-25,5,,,,,live_github_api,,
2026-07-25,2,apache/airflow,https://github.com/apache/airflow,general_user,"[""general_user""]",95.22,90.5,30.5,31.0,95.72,100.0,100.0,75.0,65,100.0,0.0,Advanced,Try today,"apache/airflow is a Python project for General User: Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",It maps to General User needs with an evidence-based score of 95.22.,"Turn airflow into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 46240"", ""Forks: 17441"", ""Language: Python"", ""License: Apache-2.0"", ""README length: 40549"", ""Topics: airflow, apache, apache-airflow, automation, dag, data-engineering, data-integration, data-orchestrator, data-pipelines, data-science, elt, etl, machine-learning, mlops, orchestration, python, scheduler, workflow, workflow-engine, workflow-orchestration""]",[],high,Python,"[""airflow"", ""apache"", ""apache-airflow"", ""automation"", ""dag"", ""data-engineering"", ""data-integration"", ""data-orchestrator"", ""data-pipelines"", ""data-science"", ""elt"", ""etl"", ""machine-learning"", ""mlops"", ""orchestration"", ""python"", ""scheduler"", ""workflow"", ""workflow-engine"", ""workflow-orchestration""]",46240,17441,1791,Apache-2.0,2026-07-25T06:20:45Z,2026-07-02,2026-07-25,22,,,,,live_github_api,,
2026-07-25,3,tianma-if/edgeever,https://github.com/tianma-if/edgeever,general_user,"[""general_user""]",94.08,90.5,12.0,24.5,86.62,93.39,100.0,95.0,65,100.0,0.0,Intermediate,Try today,"tianma-if/edgeever is a TypeScript project for General User: Serverless, 100% free, and open-source Evernote alternative on Cloudflare with native MCP | 无需服务器、0费用、原生支持 AI Agent 的开源自托管『印象笔记』",It maps to General User needs with an evidence-based score of 94.08.,"Turn edgeever into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 623"", ""Forks: 244"", ""Language: TypeScript"", ""License: AGPL-3.0"", ""README length: 13462"", ""Topics: cloudflare, cloudflare-d1, cloudflare-r2, cloudflare-workers, evernote, evernote-alternative, hono, knowledge-base, mcp, note-taking, notes, obsidian, personal-knowledge-base, pwa, pwa-app, self-hosted, self-hosting, tiptap, workers""]",[],high,TypeScript,"[""cloudflare"", ""cloudflare-d1"", ""cloudflare-r2"", ""cloudflare-workers"", ""evernote"", ""evernote-alternative"", ""hono"", ""knowledge-base"", ""mcp"", ""note-taking"", ""notes"", ""obsidian"", ""personal-knowledge-base"", ""pwa"", ""pwa-app"", ""self-hosted"", ""self-hosting"", ""tiptap"", ""workers""]",623,244,19,AGPL-3.0,2026-07-25T06:22:18Z,2026-07-08,2026-07-25,10,,,,,live_github_api,,
2026-07-25,4,unslothai/unsloth,https://github.com/unslothai/unsloth,general_user,"[""general_user"", ""data_scientist""]",91.82,68.0,18.0,55.5,85.6,100.0,100.0,95.0,65,100.0,0.0,Intermediate,Try today,"unslothai/unsloth is a Python project for General User: Unsloth is a local UI for training and running Gemma 4, Qwen3.6, DeepSeek, Kimi, GLM and other models.",It maps to General User needs with an evidence-based score of 91.82.,"Turn unsloth into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 68858"", ""Forks: 6202"", ""Language: Python"", ""License: Apache-2.0"", ""README length: 27403"", ""Topics: agent, deepseek, fine-tuning, gemma, gemma3, gpt-oss, llama, llama3, llm, llms, mistral, openai, qwen, reinforcement-learning, self-hosted, text-to-speech, tts, ui, unsloth""]",[],high,Python,"[""agent"", ""deepseek"", ""fine-tuning"", ""gemma"", ""gemma3"", ""gpt-oss"", ""llama"", ""llama3"", ""llm"", ""llms"", ""mistral"", ""openai"", ""qwen"", ""reinforcement-learning"", ""self-hosted"", ""text-to-speech"", ""tts"", ""ui"", ""unsloth""]",68858,6202,991,Apache-2.0,2026-07-25T06:27:47Z,2026-07-02,2026-07-25,20,,,,,live_github_api,,
2026-07-25,5,dongdongbh/Mindwtr,https://github.com/dongdongbh/Mindwtr,general_user,"[""general_user""]",89.39,78.0,24.5,12.5,83.19,95.24,95,75.0,65,100.0,0.0,Advanced,Try today,"dongdongbh/Mindwtr is a TypeScript project for General User: Get every task and idea out of your head, then see the next thing to do. Getting Things Done (GTD) app for desktop and mobile.",It maps to General User needs with an evidence-based score of 89.39.,"Turn Mindwtr into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 1521"", ""Forks: 88"", ""Language: TypeScript"", ""License: AGPL-3.0"", ""README length: 19493"", ""Topics: cross-platform, getting-things-done, gtd, gtd-applications, gtd-workflow, personal-management, productivity, second-brain, task-management, todo-app""]",[],high,TypeScript,"[""cross-platform"", ""getting-things-done"", ""gtd"", ""gtd-applications"", ""gtd-workflow"", ""personal-management"", ""productivity"", ""second-brain"", ""task-management"", ""todo-app""]",1521,88,54,AGPL-3.0,2026-07-25T04:55:07Z,2026-07-03,2026-07-25,34,,,,,live_github_api,,
2026-07-25,6,moltis-org/moltis,https://github.com/moltis-org/moltis,general_user,"[""general_user""]",89.34,93.0,24.5,25.0,91.44,96.5,83,45.0,65,100.0,0.0,Advanced,Try today,"moltis-org/moltis is a Rust project for General User: A secure persistent personal agent server in Rust. One binary, sandboxed execution, multi-provider LLMs, voice, memory, Telegram, WhatsApp, Discord, Teams, and MCP tools. Secure by design, runs on your hardware.",It maps to General User needs with an evidence-based score of 89.34.,"Turn moltis into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 2793"", ""Forks: 328"", ""Language: Rust"", ""License: MIT"", ""README length: 13062"", ""Topics: ai-agent, ai-assistant, clawdbot, llm, mcp, openclaw, rust, sandbox, self-hosted, single-binary, telegram-bot, voice-assistant""]",[],high,Rust,"[""ai-agent"", ""ai-assistant"", ""clawdbot"", ""llm"", ""mcp"", ""openclaw"", ""rust"", ""sandbox"", ""self-hosted"", ""single-binary"", ""telegram-bot"", ""voice-assistant""]",2793,328,91,MIT,2026-07-25T06:27:11Z,2026-07-14,2026-07-25,4,,,,,live_github_api,,
2026-07-25,7,unhappychoice/gitlogue,https://github.com/unhappychoice/gitlogue,general_user,"[""general_user""]",89.32,100.0,12.5,24.5,95.96,97.66,61,45.0,45,100.0,0.0,Advanced,Try today,"unhappychoice/gitlogue is a Rust project for General User: A cinematic Git commit replay tool for the terminal, turning your Git history into a living, animated story.",It maps to General User needs with an evidence-based score of 89.32.,"Turn gitlogue into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 4869"", ""Forks: 107"", ""Language: Rust"", ""License: ISC"", ""README length: 9180"", ""Topics: cli, cli-tool, code-animation, commit-history, developer-tools, git, git-history, git-visualization, productivity, ratatui, rust, screensaver, syntax-highlighting, terminal, terminal-app, terminal-based, terminal-screensaver, tree-sitter, tui, visualization""]",[],high,Rust,"[""cli"", ""cli-tool"", ""code-animation"", ""commit-history"", ""developer-tools"", ""git"", ""git-history"", ""git-visualization"", ""productivity"", ""ratatui"", ""rust"", ""screensaver"", ""syntax-highlighting"", ""terminal"", ""terminal-app"", ""terminal-based"", ""terminal-screensaver"", ""tree-sitter"", ""tui"", ""visualization""]",4869,107,13,ISC,2026-07-25T05:48:00Z,2026-07-05,2026-07-25,3,,,,,live_github_api,,
2026-07-25,8,ulsklyc/yuvomi,https://github.com/ulsklyc/yuvomi,general_user,"[""general_user""]",89.03,78.0,12.0,0.0,82.23,94.43,95,75.0,65,100.0,0.0,Advanced,Try today,"ulsklyc/yuvomi is a JavaScript project for General User: Self-hosted family planner - tasks, calendars, shopping, meals, budget. Your data, your server.",It maps to General User needs with an evidence-based score of 89.03.,"Turn yuvomi into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 1032"", ""Forks: 85"", ""Language: JavaScript"", ""License: MIT"", ""README length: 22465"", ""Topics: docker, family, family-planner, home-automation, open-source, planner-app, privacy-first, progressive-web-app, pwa, self-hosted, selfhosted, selfhosted-apps""]",[],high,JavaScript,"[""docker"", ""family"", ""family-planner"", ""home-automation"", ""open-source"", ""planner-app"", ""privacy-first"", ""progressive-web-app"", ""pwa"", ""self-hosted"", ""selfhosted"", ""selfhosted-apps""]",1032,85,4,MIT,2026-07-25T06:18:05Z,2026-07-03,2026-07-25,14,,,,,live_github_api,,
2026-07-25,9,the911fund/skill-of-skills,https://github.com/the911fund/skill-of-skills,general_user,"[""general_user""]",89.0,90.5,30.5,18.0,78.95,86.93,100.0,95.0,65,100.0,15,Intermediate,Try today,"the911fund/skill-of-skills is a Python project for General User: The autonomous discovery engine for AI coding tools. Indexes skills, plugins, MCP servers, agents, and integrations across Claude Code, Codex, Gemini CLI, and more.",It maps to General User needs with an evidence-based score of 89.00.,"Turn skill-of-skills into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 27"", ""Forks: 9"", ""Language: Python"", ""License: MIT"", ""README length: 255774"", ""Topics: ai-tools, automation, claude-code, discovery-engine, mcp-servers, n8n, open-source, plugins, skills""]","[""many open issues relative to stars""]",high,Python,"[""ai-tools"", ""automation"", ""claude-code"", ""discovery-engine"", ""mcp-servers"", ""n8n"", ""open-source"", ""plugins"", ""skills""]",27,9,6,MIT,2026-07-25T06:25:03Z,2026-07-08,2026-07-25,12,,,,,live_github_api,,
2026-07-25,10,xalgord/xalgorix,https://github.com/xalgord/xalgorix,general_user,"[""general_user""]",88.81,78.0,24.5,0.0,81.62,93.91,95,75.0,65,100.0,0.0,Intermediate,Try today,"xalgord/xalgorix is a Go project for General User: Autonomous AI pentesting agents — real-time reconnaissance, vulnerability detection, and exploitation orchestration. Go + TypeScript.",It maps to General User needs with an evidence-based score of 88.81.,"Turn xalgorix into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 803"", ""Forks: 141"", ""Language: Go"", ""License: MIT"", ""README length: 42290"", ""Topics: ai-agent, ai-security, automation, autonomous-pentesting, bug-bounty, cybersecurity, ethical-hacking, golang, penetration-testing, pentest, pentesting-tools, recon, security, security-research, security-tools, typescript, vulnerability-detection, vulnerability-scanner""]",[],high,Go,"[""ai-agent"", ""ai-security"", ""automation"", ""autonomous-pentesting"", ""bug-bounty"", ""cybersecurity"", ""ethical-hacking"", ""golang"", ""penetration-testing"", ""pentest"", ""pentesting-tools"", ""recon"", ""security"", ""security-research"", ""security-tools"", ""typescript"", ""vulnerability-detection"", ""vulnerability-scanner""]",803,141,5,MIT,2026-07-25T06:01:22Z,2026-07-14,2026-07-25,3,,,,,live_github_api,,
