date,rank_today,full_name,html_url,primary_audience,audience_tags,overall_insight_score,general_user_score,data_analyst_score,data_scientist_score,usefulness_score,momentum_score,reproducibility_score,data_asset_score,dashboard_readiness_score,maintenance_score,risk_score,difficulty_level,recommended_action,one_sentence_summary,why_it_matters,portfolio_project_idea,evidence,risk_flags,confidence,language,topics,stars,forks,open_issues,license,pushed_at,first_seen_date,last_seen_date,days_seen,rank_previous,rank_change,star_delta_since_previous_seen,fork_delta_since_previous_seen,source_status,image_asset_path,image_prompt_path
2026-07-03,1,jeremylongshore/claude-code-plugins-plus-skills,https://github.com/jeremylongshore/claude-code-plugins-plus-skills,general_user,"[""general_user""]",95.33,90.5,30.5,30.5,90.01,96.25,100.0,95.0,65,100.0,0.0,Intermediate,Try today,"jeremylongshore/claude-code-plugins-plus-skills is a Python project for General User: 425 plugins, 2,810 skills, 200 agents for Claude Code. Open-source marketplace at tonsofskills.com with the ccpi CLI package manager.",It maps to General User needs with an evidence-based score of 95.33.,"Turn claude-code-plugins-plus-skills into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 2466"", ""Forks: 347"", ""Language: Python"", ""License: MIT"", ""README length: 118029"", ""Topics: agent-skills, ai, ai-agents, anthropic, automation, claude-code, claude-code-plugins, developer-tools, devops, llm, marketplace, mcp, plugin-marketplace, plugin-system, saas, skills""]",[],high,Python,"[""agent-skills"", ""ai"", ""ai-agents"", ""anthropic"", ""automation"", ""claude-code"", ""claude-code-plugins"", ""developer-tools"", ""devops"", ""llm"", ""marketplace"", ""mcp"", ""plugin-marketplace"", ""plugin-system"", ""saas"", ""skills""]",2466,347,23,MIT,2026-07-02T18:32:57Z,2026-07-03,2026-07-03,1,,,,,live_github_api,,
2026-07-03,2,apache/airflow,https://github.com/apache/airflow,general_user,"[""general_user""]",95.22,90.5,30.5,31.0,95.72,100.0,100.0,75.0,65,100.0,0.0,Advanced,Try today,"apache/airflow is a Python project for General User: Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",It maps to General User needs with an evidence-based score of 95.22.,"Turn airflow into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 46002"", ""Forks: 17333"", ""Language: Python"", ""License: Apache-2.0"", ""README length: 40549"", ""Topics: airflow, apache, apache-airflow, automation, dag, data-engineering, data-integration, data-orchestrator, data-pipelines, data-science, elt, etl, machine-learning, mlops, orchestration, python, scheduler, workflow, workflow-engine, workflow-orchestration""]",[],high,Python,"[""airflow"", ""apache"", ""apache-airflow"", ""automation"", ""dag"", ""data-engineering"", ""data-integration"", ""data-orchestrator"", ""data-pipelines"", ""data-science"", ""elt"", ""etl"", ""machine-learning"", ""mlops"", ""orchestration"", ""python"", ""scheduler"", ""workflow"", ""workflow-engine"", ""workflow-orchestration""]",46002,17333,1693,Apache-2.0,2026-07-02T18:36:10Z,2026-07-02,2026-07-03,3,,,,,live_github_api,,
2026-07-03,1,langgenius/dify,https://github.com/langgenius/dify,general_user,"[""general_user""]",94.72,90.5,12.0,25.0,95.72,100.0,95,75.0,65,100.0,0.0,Advanced,Try today,langgenius/dify is a TypeScript project for General User: Production-ready platform for agentic workflow development.,It maps to General User needs with an evidence-based score of 94.72.,"Turn dify into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 147491"", ""Forks: 23221"", ""Language: TypeScript"", ""License: NOASSERTION"", ""README length: 14408"", ""Topics: agent, agentic-ai, agentic-framework, agentic-workflow, ai, automation, gemini, genai, gpt, gpt-4, llm, low-code, mcp, nextjs, no-code, openai, orchestration, python, rag, workflow""]",[],high,TypeScript,"[""agent"", ""agentic-ai"", ""agentic-framework"", ""agentic-workflow"", ""ai"", ""automation"", ""gemini"", ""genai"", ""gpt"", ""gpt-4"", ""llm"", ""low-code"", ""mcp"", ""nextjs"", ""no-code"", ""openai"", ""orchestration"", ""python"", ""rag"", ""workflow""]",147491,23221,877,NOASSERTION,2026-07-03T07:35:24Z,2026-07-02,2026-07-03,3,,,,,live_github_api,,
2026-07-03,3,escapeboy/agent-fleet-o,https://github.com/escapeboy/agent-fleet-o,general_user,"[""general_user"", ""data_scientist""]",93.81,100.0,12.0,49.5,83.98,87.57,100.0,95.0,65,100.0,0.0,Intermediate,Try today,"escapeboy/agent-fleet-o is a PHP project for General User: Open-source AI agent orchestration platform — self-hosted mission control for autonomous multi-agent systems. Visual DAG workflows, 450+ MCP tools, human-in-the-loop approvals. Works with Claude, GPT-4o, Gemini, Ollama, Codex.",It maps to General User needs with an evidence-based score of 93.81.,"Turn agent-fleet-o into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 37"", ""Forks: 5"", ""Language: PHP"", ""License: AGPL-3.0"", ""README length: 31732"", ""Topics: agent-orchestration, agentic-ai, ai-agents, ai-automation, autonomous-agents, claude, crewai-alternative, langgraph-alternative, laravel, livewire, llm-workflow, mcp-server, model-context-protocol, multi-agent, n8n-alternative, ollama, openai, php, self-hosted, workflow-automation""]",[],high,PHP,"[""agent-orchestration"", ""agentic-ai"", ""ai-agents"", ""ai-automation"", ""autonomous-agents"", ""claude"", ""crewai-alternative"", ""langgraph-alternative"", ""laravel"", ""livewire"", ""llm-workflow"", ""mcp-server"", ""model-context-protocol"", ""multi-agent"", ""n8n-alternative"", ""ollama"", ""openai"", ""php"", ""self-hosted"", ""workflow-automation""]",37,5,0,AGPL-3.0,2026-07-02T18:33:25Z,2026-07-03,2026-07-03,1,,,,,live_github_api,,
2026-07-03,2,netease-youdao/LobsterAI,https://github.com/netease-youdao/LobsterAI,general_user,"[""general_user""]",93.57,100.0,12.0,12.5,96.23,97.89,95,75.0,65,100.0,15,Intermediate,Try today,"netease-youdao/LobsterAI is a TypeScript project for General User: Open-source, desktop-grade AI agent that gets real work done — data analysis, slides, docs, video & web research. Built on OpenClaw; runs tools on your real desktop and takes commands from your phone via WeChat, Feishu, DingTalk & Telegram.",It maps to General User needs with an evidence-based score of 93.57.,"Turn LobsterAI into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 5428"", ""Forks: 842"", ""Language: TypeScript"", ""License: MIT"", ""README length: 27061"", ""Topics: agent, ai-agent, ai-assistant, automation, autonomous-agents, chatbot, copilot, cross-platform, desktop-app, electron, llm, mcp, office-automation, openclaw, productivity, react, tyepscript""]","[""many open issues relative to stars""]",high,TypeScript,"[""agent"", ""ai-agent"", ""ai-assistant"", ""automation"", ""autonomous-agents"", ""chatbot"", ""copilot"", ""cross-platform"", ""desktop-app"", ""electron"", ""llm"", ""mcp"", ""office-automation"", ""openclaw"", ""productivity"", ""react"", ""tyepscript""]",5428,842,835,MIT,2026-07-03T07:27:51Z,2026-07-02,2026-07-03,2,,,,,live_github_api,,
2026-07-03,3,kestra-io/kestra,https://github.com/kestra-io/kestra,general_user,"[""general_user""]",93.52,90.5,37.0,0.0,95.72,100.0,83,75.0,65,100.0,0.0,Intermediate,Try today,kestra-io/kestra is a Java project for General User: Event Driven Orchestration & Scheduling Platform for Mission Critical Applications,It maps to General User needs with an evidence-based score of 93.52.,"Turn kestra into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 27229"", ""Forks: 2645"", ""Language: Java"", ""License: Apache-2.0"", ""README length: 14091"", ""Topics: ai-agents, automation, control-plane, data-engineering, data-orchestration, data-orchestrator, devops, etl, hacktoberfest, high-availability, infra-automation, infra-ops, infrastructure-as-code, java, low-code, orchestration, pipeline, pipeline-as-code, scheduler, workflow""]",[],high,Java,"[""ai-agents"", ""automation"", ""control-plane"", ""data-engineering"", ""data-orchestration"", ""data-orchestrator"", ""devops"", ""etl"", ""hacktoberfest"", ""high-availability"", ""infra-automation"", ""infra-ops"", ""infrastructure-as-code"", ""java"", ""low-code"", ""orchestration"", ""pipeline"", ""pipeline-as-code"", ""scheduler"", ""workflow""]",27229,2645,543,Apache-2.0,2026-07-03T07:08:04Z,2026-07-02,2026-07-03,2,,,,,live_github_api,,
2026-07-03,4,hyperdxio/hyperdx,https://github.com/hyperdxio/hyperdx,general_user,"[""general_user"", ""data_analyst""]",93.37,90.5,80.0,12.5,93.37,99.08,83,80.0,100.0,100.0,0.0,Intermediate,Try today,"hyperdxio/hyperdx is a TypeScript project for General User: Resolve production issues, fast. An open source observability platform unifying session replays, logs, metrics, traces and errors powered by ClickHouse and OpenTelemetry.",It maps to General User needs with an evidence-based score of 93.37.,"Turn hyperdx into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 9641"", ""Forks: 421"", ""Language: TypeScript"", ""License: MIT"", ""README length: 6842"", ""Topics: alerting, analytics, apm, application-monitoring, clickhouse, dashboard, frontend-monitoring, kubernetes, log-management, logs, metrics, monitoring, observability, opentelemetry, react, self-hosted, session-replay, traces, typescript""]",[],high,TypeScript,"[""alerting"", ""analytics"", ""apm"", ""application-monitoring"", ""clickhouse"", ""dashboard"", ""frontend-monitoring"", ""kubernetes"", ""log-management"", ""logs"", ""metrics"", ""monitoring"", ""observability"", ""opentelemetry"", ""react"", ""self-hosted"", ""session-replay"", ""traces"", ""typescript""]",9641,421,167,MIT,2026-07-02T18:45:12Z,2026-07-03,2026-07-03,2,,,,,live_github_api,,
2026-07-03,4,majiayu000/spellbook,https://github.com/majiayu000/spellbook,general_user,"[""general_user""]",92.95,100.0,18.0,6.0,88.44,91.32,95,75.0,65,100.0,0.0,Intermediate,Try today,"majiayu000/spellbook is a Python project for General User: Cross-runtime skills for Claude Code, Codex, and multi-agent workflows.",It maps to General User needs with an evidence-based score of 92.95.,"Turn spellbook into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 230"", ""Forks: 21"", ""Language: Python"", ""License: MIT"", ""README length: 22827"", ""Topics: agent-skills, ai-agent-skills, ai-agents, ai-coding-assistant, automation, claude, claude-code, claude-code-skills, code-review, codex, codex-skills, cross-runtime, developer-tools, multi-agent, productivity, prompt-engineering, skill-library, software-development, spellbook, workflows""]",[],high,Python,"[""agent-skills"", ""ai-agent-skills"", ""ai-agents"", ""ai-coding-assistant"", ""automation"", ""claude"", ""claude-code"", ""claude-code-skills"", ""code-review"", ""codex"", ""codex-skills"", ""cross-runtime"", ""developer-tools"", ""multi-agent"", ""productivity"", ""prompt-engineering"", ""skill-library"", ""software-development"", ""spellbook"", ""workflows""]",230,21,6,MIT,2026-07-03T07:19:52Z,2026-07-03,2026-07-03,3,,,,,live_github_api,,
2026-07-03,6,jupyter-naas/abi,https://github.com/jupyter-naas/abi,general_user,"[""general_user""]",92.7,100.0,43.0,43.0,87.07,90.17,100.0,95.0,65,100.0,15,Intermediate,Try today,"jupyter-naas/abi is a Python project for General User: AI Operating System - Build your own AI using ontologies as the unifying field connecting data, models, workflows, and systems.",It maps to General User needs with an evidence-based score of 92.70.,"Turn abi into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 132"", ""Forks: 39"", ""Language: Python"", ""License: MIT"", ""README length: 13528"", ""Topics: abi, ai, aiagentic, aiagentsframework, analytics, artificial-intelligence, automation, business, ontologies""]","[""many open issues relative to stars""]",high,Python,"[""abi"", ""ai"", ""aiagentic"", ""aiagentsframework"", ""analytics"", ""artificial-intelligence"", ""automation"", ""business"", ""ontologies""]",132,39,50,MIT,2026-07-02T18:31:19Z,2026-07-03,2026-07-03,1,,,,,live_github_api,,
2026-07-03,5,vmDeshpande/ai-agent-automation,https://github.com/vmDeshpande/ai-agent-automation,general_user,"[""general_user""]",92.65,100.0,24.5,12.5,87.63,90.64,95,75.0,65,100.0,0.0,Intermediate,Try today,"vmDeshpande/ai-agent-automation is a TypeScript project for General User: Modular AI agent workflow automation platform with schedulers, tools, and observability. https://vmdeshpande.github.io/ai-automation-platform-website/",It maps to General User needs with an evidence-based score of 92.65.,"Turn ai-agent-automation into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 166"", ""Forks: 90"", ""Language: TypeScript"", ""License: Apache-2.0"", ""README length: 11745"", ""Topics: ai, ai-agents, automation, developer-tools, llm, nextjs, nodejs, open-source, react, self-hosted, workflow-automation""]",[],high,TypeScript,"[""ai"", ""ai-agents"", ""automation"", ""developer-tools"", ""llm"", ""nextjs"", ""nodejs"", ""open-source"", ""react"", ""self-hosted"", ""workflow-automation""]",166,90,20,Apache-2.0,2026-07-03T07:07:23Z,2026-07-03,2026-07-03,1,,,,,live_github_api,,
