date,rank_today,full_name,html_url,primary_audience,audience_tags,overall_insight_score,general_user_score,data_analyst_score,data_scientist_score,usefulness_score,momentum_score,reproducibility_score,data_asset_score,dashboard_readiness_score,maintenance_score,risk_score,difficulty_level,recommended_action,one_sentence_summary,why_it_matters,portfolio_project_idea,evidence,risk_flags,confidence,language,topics,stars,forks,open_issues,license,pushed_at,first_seen_date,last_seen_date,days_seen,rank_previous,rank_change,star_delta_since_previous_seen,fork_delta_since_previous_seen,source_status,image_asset_path,image_prompt_path
2026-09-08,1,coleam00/Archon,https://github.com/coleam00/Archon,general_user,"[""general_user""]",96.97,100.0,12.0,12.5,99.84,100.0,95,75.0,65,100.0,0.0,Intermediate,Try today,coleam00/Archon is a TypeScript project for General User: The first open-source harness builder for AI coding. Make AI coding deterministic and repeatable.,It maps to General User needs with an evidence-based score of 96.97.,"Turn Archon into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 23398"", ""Forks: 3466"", ""Language: TypeScript"", ""License: MIT"", ""README length: 19131"", ""Topics: ai, automation, bun, claude, cli, coding-assistant, developer-tools, typescript, workflow-engine, yaml""]",[],high,TypeScript,"[""ai"", ""automation"", ""bun"", ""claude"", ""cli"", ""coding-assistant"", ""developer-tools"", ""typescript"", ""workflow-engine"", ""yaml""]",23398,3466,314,MIT,2026-09-08T08:38:23Z,2026-07-18,2026-09-08,9,,,,,live_github_api,,
2026-09-08,2,rtk-ai/rtk,https://github.com/rtk-ai/rtk,general_user,"[""general_user""]",95.8,100.0,24.5,12.5,100.0,100.0,83,75.0,65,100.0,0.0,Advanced,Try today,"rtk-ai/rtk is a Rust project for General User: CLI proxy that reduces LLM token consumption by 60-90% on common dev commands. Single Rust binary, zero dependencies",It maps to General User needs with an evidence-based score of 95.80.,"Turn rtk into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 79371"", ""Forks: 5021"", ""Language: Rust"", ""License: Apache-2.0"", ""README length: 25873"", ""Topics: agentic-coding, ai-coding, anthropic, claude-code, cli, command-line-tool, cost-reduction, developer-tools, llm, open-source, productivity, rust, token-optimization""]",[],high,Rust,"[""agentic-coding"", ""ai-coding"", ""anthropic"", ""claude-code"", ""cli"", ""command-line-tool"", ""cost-reduction"", ""developer-tools"", ""llm"", ""open-source"", ""productivity"", ""rust"", ""token-optimization""]",79371,5021,1843,Apache-2.0,2026-09-08T08:44:06Z,2026-07-02,2026-09-08,21,,,,,live_github_api,,
2026-09-08,3,apache/airflow,https://github.com/apache/airflow,general_user,"[""general_user""]",95.22,90.5,30.5,31.0,95.72,100.0,100.0,75.0,65,100.0,0.0,Advanced,Try today,"apache/airflow is a Python project for General User: Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",It maps to General User needs with an evidence-based score of 95.22.,"Turn airflow into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 46775"", ""Forks: 17789"", ""Language: Python"", ""License: Apache-2.0"", ""README length: 41241"", ""Topics: airflow, apache, apache-airflow, automation, dag, data-engineering, data-integration, data-orchestrator, data-pipelines, data-science, elt, etl, machine-learning, mlops, orchestration, python, scheduler, workflow, workflow-engine, workflow-orchestration""]",[],high,Python,"[""airflow"", ""apache"", ""apache-airflow"", ""automation"", ""dag"", ""data-engineering"", ""data-integration"", ""data-orchestrator"", ""data-pipelines"", ""data-science"", ""elt"", ""etl"", ""machine-learning"", ""mlops"", ""orchestration"", ""python"", ""scheduler"", ""workflow"", ""workflow-engine"", ""workflow-orchestration""]",46775,17789,2173,Apache-2.0,2026-09-08T08:34:25Z,2026-07-02,2026-09-08,52,,,,,live_github_api,,
2026-09-08,4,rush86999/atom,https://github.com/rush86999/atom,general_user,"[""general_user""]",94.17,100.0,18.0,18.5,91.75,94.11,95,75.0,65,100.0,0.0,Advanced,Try today,"rush86999/atom is a Python project for General User: Atom Agent, Open-Source Governed AI Agent Platform for Self-Hosted Automation",It maps to General User needs with an evidence-based score of 94.17.,"Turn atom into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 883"", ""Forks: 92"", ""Language: Python"", ""License: AGPL-3.0"", ""README length: 19067"", ""Topics: agentic-workflow, ai, ai-agent, calendar, finance, gdrive, gmail, google-calendar, notion, productivity, scheduler, shopify, slack, tasks, zoho, zoom""]",[],high,Python,"[""agentic-workflow"", ""ai"", ""ai-agent"", ""calendar"", ""finance"", ""gdrive"", ""gmail"", ""google-calendar"", ""notion"", ""productivity"", ""scheduler"", ""shopify"", ""slack"", ""tasks"", ""zoho"", ""zoom""]",883,92,1,AGPL-3.0,2026-09-08T07:21:39Z,2026-07-12,2026-09-08,39,,,,,live_github_api,,
2026-09-08,5,BitMiracle-AI/Dormice,https://github.com/BitMiracle-AI/Dormice,general_user,"[""general_user""]",92.04,90.5,37.0,37.0,87.87,94.44,95,75.0,65,100.0,0.0,Intermediate,Try today,"BitMiracle-AI/Dormice is a TypeScript project for General User: The SQLite of agent sandboxes — self-hosted, E2B-compatible. One machine, sandboxes that live forever, idle costs nothing.",It maps to General User needs with an evidence-based score of 92.04.,"Turn Dormice into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 1036"", ""Forks: 75"", ""Language: TypeScript"", ""License: Apache-2.0"", ""README length: 12783"", ""Topics: agents, ai-agents, code-execution, docker, e2b, gvisor, sandbox, self-hosted""]",[],high,TypeScript,"[""agents"", ""ai-agents"", ""code-execution"", ""docker"", ""e2b"", ""gvisor"", ""sandbox"", ""self-hosted""]",1036,75,66,Apache-2.0,2026-09-08T08:43:18Z,2026-09-08,2026-09-08,1,,,,,live_github_api,,
2026-09-08,6,netease-youdao/LobsterAI,https://github.com/netease-youdao/LobsterAI,general_user,"[""general_user""]",91.71,100.0,12.0,12.5,96.47,98.09,83,45.0,65,100.0,0.0,Intermediate,Try today,"netease-youdao/LobsterAI is a TypeScript project for General User: Open-source, desktop-grade AI agent that gets real work done — data analysis, slides, docs, video & web research. Built on OpenClaw; runs tools on your real desktop and takes commands from your phone via WeChat, Feishu, DingTalk & Telegram.",It maps to General User needs with an evidence-based score of 91.71.,"Turn LobsterAI into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 5994"", ""Forks: 961"", ""Language: TypeScript"", ""License: MIT"", ""README length: 16448"", ""Topics: agent, ai-agent, ai-assistant, automation, autonomous-agents, chatbot, copilot, cross-platform, desktop-app, electron, llm, mcp, office-automation, openclaw, productivity, react, tyepscript""]",[],high,TypeScript,"[""agent"", ""ai-agent"", ""ai-assistant"", ""automation"", ""autonomous-agents"", ""chatbot"", ""copilot"", ""cross-platform"", ""desktop-app"", ""electron"", ""llm"", ""mcp"", ""office-automation"", ""openclaw"", ""productivity"", ""react"", ""tyepscript""]",5994,961,612,MIT,2026-09-08T08:43:28Z,2026-07-02,2026-09-08,38,,,,,live_github_api,,
2026-09-08,7,Coding-Dev-Tools/engraphis,https://github.com/Coding-Dev-Tools/engraphis,general_user,"[""general_user"", ""data_analyst""]",91.41,90.5,55.5,6.0,83.45,90.72,100.0,80.0,100.0,100.0,0.0,Intermediate,Try today,"Coding-Dev-Tools/engraphis is a Python project for General User: Local-first, inspectable memory for coding agents: durable context across sessions and repositories, code-aware recall, bi-temporal history, MCP, and a self-hosted WebUI.",It maps to General User needs with an evidence-based score of 91.41.,"Turn engraphis into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 172"", ""Forks: 31"", ""Language: Python"", ""License: Apache-2.0"", ""README length: 58813"", ""Topics: agent-memory, ai-agents, developer-tools, knowledge-graph, local-first, mcp, python, self-hosted""]",[],high,Python,"[""agent-memory"", ""ai-agents"", ""developer-tools"", ""knowledge-graph"", ""local-first"", ""mcp"", ""python"", ""self-hosted""]",172,31,0,Apache-2.0,2026-09-08T08:49:17Z,2026-07-22,2026-09-08,2,,,,,live_github_api,,
2026-09-08,8,ljtn/epiq,https://github.com/ljtn/epiq,general_user,"[""general_user""]",91.14,100.0,12.0,12.5,89.5,92.21,73,75.0,65,100.0,0.0,Intermediate,Try today,"ljtn/epiq is a TypeScript project for General User: Distributed, code-native issue tracker - audit workflows via time-travel",It maps to General User needs with an evidence-based score of 91.14.,"Turn epiq into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 354"", ""Forks: 14"", ""Language: TypeScript"", ""License: MIT"", ""README length: 16742"", ""Topics: cli, command-line, git-based, issue-tracker, kanban, offline-first, productivity, task-manager, tui""]",[],high,TypeScript,"[""cli"", ""command-line"", ""git-based"", ""issue-tracker"", ""kanban"", ""offline-first"", ""productivity"", ""task-manager"", ""tui""]",354,14,2,MIT,2026-09-08T08:49:46Z,2026-08-16,2026-09-08,12,,,,,live_github_api,,
2026-09-08,9,EpicStaff/EpicStaff,https://github.com/EpicStaff/EpicStaff,general_user,"[""general_user""]",91.01,90.5,18.0,18.5,85.08,92.09,95,75.0,65,100.0,0.0,Advanced,Try today,"EpicStaff/EpicStaff is a Python project for General User: Source-available, self-hosted platform for building AI agent flows - visual editor over a Django backend.",It maps to General User needs with an evidence-based score of 91.01.,"Turn EpicStaff into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 334"", ""Forks: 51"", ""Language: Python"", ""License: NOASSERTION"", ""README length: 14926"", ""Topics: ade, ai, ai-agents, aiagents, automation, gui, llm-agents, low-code, multi-agent-systems, no-code, nodebasedprogramming, orchestration, python, self-hosted, source-available, workflow-automation""]",[],high,Python,"[""ade"", ""ai"", ""ai-agents"", ""aiagents"", ""automation"", ""gui"", ""llm-agents"", ""low-code"", ""multi-agent-systems"", ""no-code"", ""nodebasedprogramming"", ""orchestration"", ""python"", ""self-hosted"", ""source-available"", ""workflow-automation""]",334,51,38,NOASSERTION,2026-09-08T08:46:20Z,2026-07-07,2026-09-08,2,,,,,live_github_api,,
2026-09-08,10,simstudioai/sim,https://github.com/simstudioai/sim,general_user,"[""general_user""]",90.52,78.0,12.0,12.5,90.1,100.0,83,75.0,65,100.0,0.0,Advanced,Try today,"simstudioai/sim is a TypeScript project for General User: Sim is the collaborative workspace to build, deploy, and monitor AI agents and workflows. Used by 100,000+ builders.",It maps to General User needs with an evidence-based score of 90.52.,"Turn sim into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 29573"", ""Forks: 3806"", ""Language: TypeScript"", ""License: Apache-2.0"", ""README length: 9795"", ""Topics: agent-workflow, agentic-workflow, agents, ai, aiagents, anthropic, artificial-intelligence, automation, chatbot, deepseek, gemini, low-code, nextjs, no-code, openai, rag, react, typescript""]",[],high,TypeScript,"[""agent-workflow"", ""agentic-workflow"", ""agents"", ""ai"", ""aiagents"", ""anthropic"", ""artificial-intelligence"", ""automation"", ""chatbot"", ""deepseek"", ""gemini"", ""low-code"", ""nextjs"", ""no-code"", ""openai"", ""rag"", ""react"", ""typescript""]",29573,3806,317,Apache-2.0,2026-09-08T08:28:01Z,2026-07-03,2026-09-08,26,,,,,live_github_api,,
