date,rank_today,full_name,html_url,primary_audience,audience_tags,overall_insight_score,general_user_score,data_analyst_score,data_scientist_score,usefulness_score,momentum_score,reproducibility_score,data_asset_score,dashboard_readiness_score,maintenance_score,risk_score,difficulty_level,recommended_action,one_sentence_summary,why_it_matters,portfolio_project_idea,evidence,risk_flags,confidence,language,topics,stars,forks,open_issues,license,pushed_at,first_seen_date,last_seen_date,days_seen,rank_previous,rank_change,star_delta_since_previous_seen,fork_delta_since_previous_seen,source_status,image_asset_path,image_prompt_path
2026-08-14,1,unslothai/unsloth,https://github.com/unslothai/unsloth,general_user,"[""general_user""]",94.82,80.5,18.0,43.0,91.22,100.0,100.0,95.0,65,100.0,0.0,Intermediate,Try today,"unslothai/unsloth is a Python project for General User: Local UI to run and train LLMs and diffusion models, including Qwen3.8, Kimi K3, MiniMax-H3, Gemma 4, DeepSeek-V4, FLUX and more.",It maps to General User needs with an evidence-based score of 94.82.,"Turn unsloth into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 70927"", ""Forks: 6398"", ""Language: Python"", ""License: Apache-2.0"", ""README length: 30884"", ""Topics: agent, chatgpt, deepseek, fine-tuning, gemma, gemma3, gpt-oss, image-generation, llama, llm, llms, openai, qwen, reinforcement-learning, self-hosted, stable-diffusion, text-to-speech, tts, ui, unsloth""]",[],high,Python,"[""agent"", ""chatgpt"", ""deepseek"", ""fine-tuning"", ""gemma"", ""gemma3"", ""gpt-oss"", ""image-generation"", ""llama"", ""llm"", ""llms"", ""openai"", ""qwen"", ""reinforcement-learning"", ""self-hosted"", ""stable-diffusion"", ""text-to-speech"", ""tts"", ""ui"", ""unsloth""]",70927,6398,1113,Apache-2.0,2026-08-13T17:08:23Z,2026-07-02,2026-08-14,44,,,,,live_github_api,,
2026-08-14,2,tianma-if/edgeever,https://github.com/tianma-if/edgeever,general_user,"[""general_user""]",94.63,90.5,12.0,24.5,88.12,94.65,100.0,95.0,65,100.0,0.0,Intermediate,Try today,"tianma-if/edgeever is a HTML project for General User: Serverless, 100% free, and open-source Evernote alternative on Cloudflare with native MCP | 无需服务器、0费用、原生支持 AI Agent 的开源自托管『印象笔记』",It maps to General User needs with an evidence-based score of 94.63.,"Turn edgeever into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 1146"", ""Forks: 579"", ""Language: HTML"", ""License: AGPL-3.0"", ""README length: 19693"", ""Topics: cloudflare, cloudflare-d1, cloudflare-r2, cloudflare-workers, electron, evernote, evernote-alternative, hono, knowledge-base, mcp, note-taking, notes, obsidian, personal-knowledge-base, pwa, pwa-app, self-hosted, self-hosting, tiptap, workers""]",[],high,HTML,"[""cloudflare"", ""cloudflare-d1"", ""cloudflare-r2"", ""cloudflare-workers"", ""electron"", ""evernote"", ""evernote-alternative"", ""hono"", ""knowledge-base"", ""mcp"", ""note-taking"", ""notes"", ""obsidian"", ""personal-knowledge-base"", ""pwa"", ""pwa-app"", ""self-hosted"", ""self-hosting"", ""tiptap"", ""workers""]",1146,579,23,AGPL-3.0,2026-08-13T17:06:10Z,2026-07-08,2026-08-14,18,,,,,live_github_api,,
2026-08-14,3,rush86999/atom,https://github.com/rush86999/atom,general_user,"[""general_user""]",94.11,100.0,18.0,18.5,91.59,93.97,95,75.0,65,100.0,0.0,Advanced,Try today,"rush86999/atom is a Python project for General User: Atom Agent, Open-Source AI Agent Platform for Self-Hosted Automation",It maps to General User needs with an evidence-based score of 94.11.,"Turn atom into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 826"", ""Forks: 90"", ""Language: Python"", ""License: AGPL-3.0"", ""README length: 16777"", ""Topics: agentic-workflow, ai, ai-agent, calendar, finance, gdrive, gmail, google-calendar, notion, productivity, scheduler, shopify, slack, tasks, zoho, zoom""]",[],high,Python,"[""agentic-workflow"", ""ai"", ""ai-agent"", ""calendar"", ""finance"", ""gdrive"", ""gmail"", ""google-calendar"", ""notion"", ""productivity"", ""scheduler"", ""shopify"", ""slack"", ""tasks"", ""zoho"", ""zoom""]",826,90,1,AGPL-3.0,2026-08-13T17:03:27Z,2026-07-12,2026-08-14,21,,,,,live_github_api,,
2026-08-14,4,netease-youdao/LobsterAI,https://github.com/netease-youdao/LobsterAI,general_user,"[""general_user""]",91.7,100.0,12.0,12.5,96.43,98.05,83,45.0,65,100.0,0.0,Intermediate,Try today,"netease-youdao/LobsterAI is a TypeScript project for General User: Open-source, desktop-grade AI agent that gets real work done — data analysis, slides, docs, video & web research. Built on OpenClaw; runs tools on your real desktop and takes commands from your phone via WeChat, Feishu, DingTalk & Telegram.",It maps to General User needs with an evidence-based score of 91.70.,"Turn LobsterAI into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 5886"", ""Forks: 931"", ""Language: TypeScript"", ""License: MIT"", ""README length: 10607"", ""Topics: agent, ai-agent, ai-assistant, automation, autonomous-agents, chatbot, copilot, cross-platform, desktop-app, electron, llm, mcp, office-automation, openclaw, productivity, react, tyepscript""]",[],high,TypeScript,"[""agent"", ""ai-agent"", ""ai-assistant"", ""automation"", ""autonomous-agents"", ""chatbot"", ""copilot"", ""cross-platform"", ""desktop-app"", ""electron"", ""llm"", ""mcp"", ""office-automation"", ""openclaw"", ""productivity"", ""react"", ""tyepscript""]",5886,931,748,MIT,2026-08-13T15:40:09Z,2026-07-02,2026-08-14,28,,,,,live_github_api,,
2026-08-14,5,jtalk22/slack-mcp-server,https://github.com/jtalk22/slack-mcp-server,general_user,"[""general_user"", ""data_scientist""]",91.09,100.0,12.0,49.5,83.4,87.07,95,75.0,65,100.0,0.0,Intermediate,Try today,"jtalk22/slack-mcp-server is a JavaScript project for General User: Catch up on Slack without reading it. Unreads, threads, search. Browser-session or hosted OAuth. 21 tools.",It maps to General User needs with an evidence-based score of 91.09.,"Turn slack-mcp-server into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 29"", ""Forks: 21"", ""Language: JavaScript"", ""License: MIT"", ""README length: 20519"", ""Topics: agentic-ai, ai-agents, anthropic, claude, claude-code, claude-desktop, codex, copilot, cursor, developer-tools, gemini-cli, llm, local-first, mcp, mcp-server, model-context-protocol, productivity, slack, slack-api, slack-mcp""]",[],high,JavaScript,"[""agentic-ai"", ""ai-agents"", ""anthropic"", ""claude"", ""claude-code"", ""claude-desktop"", ""codex"", ""copilot"", ""cursor"", ""developer-tools"", ""gemini-cli"", ""llm"", ""local-first"", ""mcp"", ""mcp-server"", ""model-context-protocol"", ""productivity"", ""slack"", ""slack-api"", ""slack-mcp""]",29,21,0,MIT,2026-08-13T16:46:27Z,2026-07-23,2026-08-14,5,,,,,live_github_api,,
2026-08-14,6,drenlia-inc/agila,https://github.com/drenlia-inc/agila,general_user,"[""general_user""]",91.09,100.0,24.5,12.5,83.4,87.07,95,75.0,65,100.0,0.0,Intermediate,Try today,drenlia-inc/agila is a TypeScript project for General User: Simple and easy Kanban web application built with React TS PostgreSQL,It maps to General User needs with an evidence-based score of 91.09.,"Turn agila into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 29"", ""Forks: 7"", ""Language: TypeScript"", ""License: MIT"", ""README length: 12925"", ""Topics: agile, agile-development, agile-management, agile-methodology, javascript, kanban, open-source, productivity, project, project-management, react, reactjs, self-hosted, sprint, sprint-planning, task-board, task-management, typescript""]",[],high,TypeScript,"[""agile"", ""agile-development"", ""agile-management"", ""agile-methodology"", ""javascript"", ""kanban"", ""open-source"", ""productivity"", ""project"", ""project-management"", ""react"", ""reactjs"", ""self-hosted"", ""sprint"", ""sprint-planning"", ""task-board"", ""task-management"", ""typescript""]",29,7,0,MIT,2026-08-13T15:58:03Z,2026-08-13,2026-08-14,2,,,,,live_github_api,,
2026-08-14,7,n8n-io/n8n,https://github.com/n8n-io/n8n,general_user,"[""general_user""]",90.3,100.0,12.5,24.5,100.0,100.0,83,20.0,45,100.0,0.0,Advanced,Try today,"n8n-io/n8n is a TypeScript project for General User: Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",It maps to General User needs with an evidence-based score of 90.30.,"Turn n8n into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 200501"", ""Forks: 60116"", ""Language: TypeScript"", ""License: NOASSERTION"", ""README length: 3994"", ""Topics: ai, apis, automation, cli, data-flow, development, integration-framework, integrations, ipaas, low-code, low-code-platform, mcp, mcp-client, mcp-server, n8n, no-code, self-hosted, typescript, workflow, workflow-automation""]",[],high,TypeScript,"[""ai"", ""apis"", ""automation"", ""cli"", ""data-flow"", ""development"", ""integration-framework"", ""integrations"", ""ipaas"", ""low-code"", ""low-code-platform"", ""mcp"", ""mcp-client"", ""mcp-server"", ""n8n"", ""no-code"", ""self-hosted"", ""typescript"", ""workflow"", ""workflow-automation""]",200501,60116,1299,NOASSERTION,2026-08-13T16:59:34Z,2026-07-02,2026-08-14,57,,,,,live_github_api,,
2026-08-14,8,The01Geek/prflow,https://github.com/The01Geek/prflow,general_user,"[""general_user""]",90.06,100.0,12.0,12.5,86.69,89.85,95,75.0,65,100.0,15,Intermediate,Try today,"The01Geek/prflow is a Shell project for General User: Turn feature requests into review-ready pull requests: issue, implementation, tests, a review-and-fix loop, and docs. Runs locally or on GitHub Actions, and is built for complex brownfield repos. Each week its retrospective reads what you actually merged and proposes improvements to your skill extensions.",It maps to General User needs with an evidence-based score of 90.06.,"Turn prflow into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 113"", ""Forks: 41"", ""Language: Shell"", ""License: MIT"", ""README length: 21015"", ""Topics: agentic-ai, ai-agents, ai-coding-assistant, automation, claude-code, code-review, code-review-automation, developer-productivity, developer-tools, documentation, github-actions, plugin, pull-request, software-development""]","[""many open issues relative to stars""]",high,Shell,"[""agentic-ai"", ""ai-agents"", ""ai-coding-assistant"", ""automation"", ""claude-code"", ""code-review"", ""code-review-automation"", ""developer-productivity"", ""developer-tools"", ""documentation"", ""github-actions"", ""plugin"", ""pull-request"", ""software-development""]",113,41,45,MIT,2026-08-13T17:07:08Z,2026-07-31,2026-08-14,13,,,,,live_github_api,,
2026-08-14,9,Kentucky-ai/opentakeoff,https://github.com/Kentucky-ai/opentakeoff,general_user,"[""general_user"", ""data_scientist""]",89.7,90.5,12.0,49.5,81.54,89.11,95,75.0,65,100.0,0.0,Intermediate,Try today,"Kentucky-ai/opentakeoff is a TypeScript project for General User: Open-source (Apache-2.0) PDF takeoff for construction & flooring — the first engine an AI agent drives natively over MCP, not bolted on. One-click room detection, materials + quantities, built for preconstruction. Runs entirely in your browser.",It maps to General User needs with an evidence-based score of 89.70.,"Turn opentakeoff into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 79"", ""Forks: 24"", ""Language: TypeScript"", ""License: Apache-2.0"", ""README length: 41487"", ""Topics: aec, ai-agent, blueprint, construction, construction-estimating, construction-tech, cost-estimation, estimating, flooring, flooring-takeoff, mcp, measurement, model-context-protocol, pdf, pdfjs, project-management, quantity-surveying, quantity-takeoff, self-hosted, takeoff""]",[],high,TypeScript,"[""aec"", ""ai-agent"", ""blueprint"", ""construction"", ""construction-estimating"", ""construction-tech"", ""cost-estimation"", ""estimating"", ""flooring"", ""flooring-takeoff"", ""mcp"", ""measurement"", ""model-context-protocol"", ""pdf"", ""pdfjs"", ""project-management"", ""quantity-surveying"", ""quantity-takeoff"", ""self-hosted"", ""takeoff""]",79,24,9,Apache-2.0,2026-08-13T17:08:26Z,2026-07-18,2026-08-14,4,,,,,live_github_api,,
2026-08-14,10,dongdongbh/Mindwtr,https://github.com/dongdongbh/Mindwtr,general_user,"[""general_user""]",89.47,78.0,24.5,12.5,83.41,95.42,95,75.0,65,100.0,0.0,Intermediate,Try today,"dongdongbh/Mindwtr is a TypeScript project for General User: Get every task and idea out of your head, then see the next thing to do. Getting Things Done (GTD) app for desktop and mobile.",It maps to General User needs with an evidence-based score of 89.47.,"Turn Mindwtr into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 1659"", ""Forks: 96"", ""Language: TypeScript"", ""License: AGPL-3.0"", ""README length: 20549"", ""Topics: adhd, cross-platform, getting-things-done, gtd, gtd-applications, gtd-workflow, personal-management, productivity, second-brain, task-management, todo-app, todolist""]",[],high,TypeScript,"[""adhd"", ""cross-platform"", ""getting-things-done"", ""gtd"", ""gtd-applications"", ""gtd-workflow"", ""personal-management"", ""productivity"", ""second-brain"", ""task-management"", ""todo-app"", ""todolist""]",1659,96,69,AGPL-3.0,2026-08-13T17:01:13Z,2026-07-03,2026-08-14,59,,,,,live_github_api,,
