date,rank_today,full_name,html_url,primary_audience,audience_tags,overall_insight_score,general_user_score,data_analyst_score,data_scientist_score,usefulness_score,momentum_score,reproducibility_score,data_asset_score,dashboard_readiness_score,maintenance_score,risk_score,difficulty_level,recommended_action,one_sentence_summary,why_it_matters,portfolio_project_idea,evidence,risk_flags,confidence,language,topics,stars,forks,open_issues,license,pushed_at,first_seen_date,last_seen_date,days_seen,rank_previous,rank_change,star_delta_since_previous_seen,fork_delta_since_previous_seen,source_status,image_asset_path,image_prompt_path
2026-07-12,1,autobrr/autobrr,https://github.com/autobrr/autobrr,general_user,"[""general_user""]",94.04,100.0,24.5,12.5,94.65,96.56,83,75.0,65,100.0,0.0,Intermediate,Try today,"autobrr/autobrr is a Go project for General User: Modern, easy to use download automation for torrents and usenet.",It maps to General User needs with an evidence-based score of 94.04.,"Turn autobrr into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 2864"", ""Forks: 211"", ""Language: Go"", ""License: GPL-2.0"", ""README length: 20441"", ""Topics: announce, autobrr, autodl-irssi, automation, bittorrent, deluge, docker, golang, irc, nzb, p2p, qbittorrent, radarr, sabnzbd, self-hosted, sonarr, torrent, transmission, usenet""]",[],high,Go,"[""announce"", ""autobrr"", ""autodl-irssi"", ""automation"", ""bittorrent"", ""deluge"", ""docker"", ""golang"", ""irc"", ""nzb"", ""p2p"", ""qbittorrent"", ""radarr"", ""sabnzbd"", ""self-hosted"", ""sonarr"", ""torrent"", ""transmission"", ""usenet""]",2864,211,34,GPL-2.0,2026-07-11T17:01:33Z,2026-07-12,2026-07-12,1,,,,,live_github_api,,
2026-07-12,2,majiayu000/spellbook,https://github.com/majiayu000/spellbook,general_user,"[""general_user""]",92.97,100.0,18.0,6.0,88.48,91.36,95,75.0,65,100.0,0.0,Intermediate,Try today,"majiayu000/spellbook is a Python project for General User: Cross-runtime skills for Claude Code, Codex, and multi-agent workflows.",It maps to General User needs with an evidence-based score of 92.97.,"Turn spellbook into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 234"", ""Forks: 22"", ""Language: Python"", ""License: MIT"", ""README length: 23221"", ""Topics: agent-skills, ai-agent-skills, ai-agents, ai-coding-assistant, automation, claude, claude-code, claude-code-skills, code-review, codex, codex-skills, cross-runtime, developer-tools, multi-agent, productivity, prompt-engineering, skill-library, software-development, spellbook, workflows""]",[],high,Python,"[""agent-skills"", ""ai-agent-skills"", ""ai-agents"", ""ai-coding-assistant"", ""automation"", ""claude"", ""claude-code"", ""claude-code-skills"", ""code-review"", ""codex"", ""codex-skills"", ""cross-runtime"", ""developer-tools"", ""multi-agent"", ""productivity"", ""prompt-engineering"", ""skill-library"", ""software-development"", ""spellbook"", ""workflows""]",234,22,2,MIT,2026-07-11T15:13:17Z,2026-07-03,2026-07-12,4,,,,,live_github_api,,
2026-07-12,3,Rheosoph/flow-like,https://github.com/Rheosoph/flow-like,general_user,"[""general_user""]",92.0,100.0,24.5,25.0,91.82,94.17,73,75.0,65,100.0,0.0,Advanced,Try today,"Rheosoph/flow-like is a TypeScript project for General User: Flow-Like: Strongly Typed Enterprise Scale Workflows. Built for scalability, speed, seamless AI integration and rich customization.",It maps to General User needs with an evidence-based score of 92.00.,"Turn flow-like into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 910"", ""Forks: 70"", ""Language: TypeScript"", ""License: NOASSERTION"", ""README length: 13756"", ""Topics: agents, ai, apis, automation, data-flow, development, llm, low-code, mcp, mcp-client, mcp-server, no-code, rust, self-hosted, typed, typescript, visual-scripting, workflow, workflow-automation""]",[],high,TypeScript,"[""agents"", ""ai"", ""apis"", ""automation"", ""data-flow"", ""development"", ""llm"", ""low-code"", ""mcp"", ""mcp-client"", ""mcp-server"", ""no-code"", ""rust"", ""self-hosted"", ""typed"", ""typescript"", ""visual-scripting"", ""workflow"", ""workflow-automation""]",910,70,119,NOASSERTION,2026-07-11T16:58:19Z,2026-07-08,2026-07-12,2,,,,,live_github_api,,
2026-07-12,4,StuMason/coolify-mcp,https://github.com/StuMason/coolify-mcp,general_user,"[""general_user""]",91.36,90.5,12.0,37.0,86.02,92.89,95,75.0,65,100.0,0.0,Intermediate,Try today,StuMason/coolify-mcp is a TypeScript project for General User: MCP server for Coolify — 42 optimized tools for managing self-hosted PaaS through AI assistants,It maps to General User needs with an evidence-based score of 91.36.,"Turn coolify-mcp into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 490"", ""Forks: 67"", ""Language: TypeScript"", ""License: MIT"", ""README length: 23602"", ""Topics: ai, claude, coolify, deployment, devops, infrastructure, mcp, model-context-protocol, paas, self-hosted, typescript""]",[],high,TypeScript,"[""ai"", ""claude"", ""coolify"", ""deployment"", ""devops"", ""infrastructure"", ""mcp"", ""model-context-protocol"", ""paas"", ""self-hosted"", ""typescript""]",490,67,7,MIT,2026-07-11T17:08:18Z,2026-07-12,2026-07-12,1,,,,,live_github_api,,
2026-07-12,5,dongdongbh/Mindwtr,https://github.com/dongdongbh/Mindwtr,general_user,"[""general_user""]",89.19,78.0,24.5,12.5,82.66,94.79,95,75.0,65,100.0,0.0,Advanced,Try today,"dongdongbh/Mindwtr is a TypeScript project for General User: Get every task and idea out of your head, then see the next thing to do. Getting Things Done (GTD) app for desktop and mobile.",It maps to General User needs with an evidence-based score of 89.19.,"Turn Mindwtr into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 1226"", ""Forks: 75"", ""Language: TypeScript"", ""License: AGPL-3.0"", ""README length: 19425"", ""Topics: cross-platform, getting-things-done, gtd, gtd-applications, gtd-workflow, personal-management, productivity, second-brain, task-management, todo-app""]",[],high,TypeScript,"[""cross-platform"", ""getting-things-done"", ""gtd"", ""gtd-applications"", ""gtd-workflow"", ""personal-management"", ""productivity"", ""second-brain"", ""task-management"", ""todo-app""]",1226,75,81,AGPL-3.0,2026-07-11T16:45:07Z,2026-07-03,2026-07-12,13,,,,,live_github_api,,
2026-07-12,6,Fractera/Agent-Engineering-Infrastructure,https://github.com/Fractera/Agent-Engineering-Infrastructure,general_user,"[""general_user""]",88.93,90.5,12.0,12.5,79.43,87.33,95,75.0,65,100.0,0.0,Intermediate,Try today,"Fractera/Agent-Engineering-Infrastructure is a TypeScript project for General User: Deploys your OS, databases, and SSL on your VPS in just 10 minutes. Orchestrates a team of AI agents for coding, marketing, and sales. The built-in optimizer saves up to 90% on token costs, letting you build and manage your online business directly through chat. Fully open-source.",It maps to General User needs with an evidence-based score of 88.93.,"Turn Agent-Engineering-Infrastructure into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 33"", ""Forks: 7"", ""Language: TypeScript"", ""License: NOASSERTION"", ""README length: 48024"", ""Topics: agent-engineering, b2b-automation, claude-code, devops-automation, edge-ai, hermes-agent, lightrag, local-rag, mcp-server, multi-agent-system, nextjs-aircraft-carrier, open-source, private-vps, self-hosted, token-efficiency""]",[],high,TypeScript,"[""agent-engineering"", ""b2b-automation"", ""claude-code"", ""devops-automation"", ""edge-ai"", ""hermes-agent"", ""lightrag"", ""local-rag"", ""mcp-server"", ""multi-agent-system"", ""nextjs-aircraft-carrier"", ""open-source"", ""private-vps"", ""self-hosted"", ""token-efficiency""]",33,7,0,NOASSERTION,2026-07-11T17:11:06Z,2026-07-04,2026-07-12,2,,,,,live_github_api,,
2026-07-12,7,supernovae-st/nika,https://github.com/supernovae-st/nika,general_user,"[""general_user"", ""data_scientist""]",88.71,100.0,24.5,49.5,83.04,86.78,95,75.0,65,100.0,15,Advanced,Try today,"supernovae-st/nika is a Rust project for General User: Intent as Code | the workflow language for AI. One file, 4 verbs, one Rust binary. Local-first, any model, AGPL-3.0. 🦋",It maps to General User needs with an evidence-based score of 88.71.,"Turn nika into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 25"", ""Forks: 1"", ""Language: Rust"", ""License: AGPL-3.0"", ""README length: 22785"", ""Topics: agents, ai, ai-agents, ai-workflows, automation, cli, dag, developer-tools, devops, llm, local-ai, lsp, mcp, nika, ollama, rust, structured-output, workflow, workflow-engine, yaml""]","[""many open issues relative to stars""]",high,Rust,"[""agents"", ""ai"", ""ai-agents"", ""ai-workflows"", ""automation"", ""cli"", ""dag"", ""developer-tools"", ""devops"", ""llm"", ""local-ai"", ""lsp"", ""mcp"", ""nika"", ""ollama"", ""rust"", ""structured-output"", ""workflow"", ""workflow-engine"", ""yaml""]",25,1,11,AGPL-3.0,2026-07-11T17:14:22Z,2026-07-10,2026-07-12,2,,,,,live_github_api,,
2026-07-12,8,ros-claw/rosclaw,https://github.com/ros-claw/rosclaw,general_user,"[""general_user""]",88.13,90.5,30.5,43.0,83.24,90.54,73,75.0,65,100.0,0.0,Intermediate,Try today,"ros-claw/rosclaw is a Python project for General User: Self-evolving runtime infrastructure for Physical AI and embodied agents. Ground AI agents into robot bodies with e-URDF, sandbox safety, capability routing, praxis capture, physical memory, runtime intervention, and skill evolution.",It maps to General User needs with an evidence-based score of 88.13.,"Turn rosclaw into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 158"", ""Forks: 31"", ""Language: Python"", ""License: MIT"", ""README length: 10578"", ""Topics: agent, agent-runtime, agent-runtimes, automation, autonomous-robotics, digital-twin, embodied-ai, llm, openclaw, physical-ai, robot, robot-operating-system, robot-safety, robotics, ros, ros2, self-evolving-ai, skill-learning, vla, vln""]",[],high,Python,"[""agent"", ""agent-runtime"", ""agent-runtimes"", ""automation"", ""autonomous-robotics"", ""digital-twin"", ""embodied-ai"", ""llm"", ""openclaw"", ""physical-ai"", ""robot"", ""robot-operating-system"", ""robot-safety"", ""robotics"", ""ros"", ""ros2"", ""self-evolving-ai"", ""skill-learning"", ""vla"", ""vln""]",158,31,2,MIT,2026-07-11T16:49:20Z,2026-07-12,2026-07-12,1,,,,,live_github_api,,
2026-07-12,9,tianma-if/edgeever,https://github.com/tianma-if/edgeever,general_user,"[""general_user""]",87.79,68.0,12.0,24.5,74.1,91.37,100.0,95.0,65,100.0,0.0,Intermediate,Try today,"tianma-if/edgeever is a TypeScript project for General User: Serverless, 100% free, and open-source Evernote alternative on Cloudflare with native MCP | 无需服务器、0费用、原生支持 AI Agent 的开源自托管『印象笔记』",It maps to General User needs with an evidence-based score of 87.79.,"Turn edgeever into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 236"", ""Forks: 45"", ""Language: TypeScript"", ""License: AGPL-3.0"", ""README length: 8158"", ""Topics: cloudflare, cloudflare-d1, cloudflare-r2, cloudflare-workers, evernote, evernote-alternative, hono, knowledge-base, mcp, note-taking, notes, personal-knowledge-base, pwa, pwa-app, self-hosted, self-hosting, tiptap, workers""]",[],high,TypeScript,"[""cloudflare"", ""cloudflare-d1"", ""cloudflare-r2"", ""cloudflare-workers"", ""evernote"", ""evernote-alternative"", ""hono"", ""knowledge-base"", ""mcp"", ""note-taking"", ""notes"", ""personal-knowledge-base"", ""pwa"", ""pwa-app"", ""self-hosted"", ""self-hosting"", ""tiptap"", ""workers""]",236,45,5,AGPL-3.0,2026-07-11T17:13:57Z,2026-07-08,2026-07-12,2,,,,,live_github_api,,
2026-07-12,10,Javis603/token-monitor,https://github.com/Javis603/token-monitor,general_user,"[""general_user""]",87.48,80.5,24.5,12.5,82.14,93.41,73,80.0,100.0,100.0,0.0,Intermediate,Try today,"Javis603/token-monitor is a JavaScript project for General User: Real-time token, cost, and AI limits widget with multi-device sync for Claude Code, Codex, OpenCode, Hermes, OpenClaw, Cursor, Antigravity and more. | 为 AI Tools 打造的即时Token、成本与限额监控桌面组件，支持多设备同步",It maps to General User needs with an evidence-based score of 87.48.,"Turn token-monitor into a concise portfolio note with problem, evidence, implementation idea, output, and limitations.","[""Stars: 629"", ""Forks: 50"", ""Language: JavaScript"", ""License: MIT"", ""README length: 20179"", ""Topics: ai, ai-tools, antigravity, claude-code, codex, cursor, deepseek, hermes-agent, linux, llm, llm-monitoring, local-first, macos, multi-device, openclaw, opencode, self-hosted, token-tracker, token-usage, windows""]",[],high,JavaScript,"[""ai"", ""ai-tools"", ""antigravity"", ""claude-code"", ""codex"", ""cursor"", ""deepseek"", ""hermes-agent"", ""linux"", ""llm"", ""llm-monitoring"", ""local-first"", ""macos"", ""multi-device"", ""openclaw"", ""opencode"", ""self-hosted"", ""token-tracker"", ""token-usage"", ""windows""]",629,50,23,MIT,2026-07-11T17:03:08Z,2026-07-05,2026-07-12,2,,,,,live_github_api,,
